#Données de temps d'insertion, de recherche et de taux de charge sur une table de hachage.
#Taille_map	Insertion	Recherche	Charge
348 4.06145e-06 2.01695e-06 0.853301
349 3.41305e-06 2.2095e-06 0.855746
350 3.5465e-06 2.88585e-06 0.858191
351 3.5427e-06 2.19935e-06 0.860636
352 3.4172e-06 3.5808e-06 0.863081
353 3.57035e-06 2.2045e-06 0.865526
354 3.5964e-06 2.8694e-06 0.867971
355 3.7488e-06 2.50275e-06 0.870416
356 3.2266e-06 2.135e-06 0.872861
357 3.9916e-06 2.1069e-06 0.875306
358 3.71465e-06 2.49015e-06 0.877751
359 3.38355e-06 2.30675e-06 0.880196
360 3.8185e-06 2.87305e-06 0.882641
361 3.97195e-06 2.5359e-06 0.885086
362 3.66245e-06 2.09e-06 0.887531
363 3.62415e-06 2.1006e-06 0.889976
364 4.33775e-06 2.8825e-06 0.892421
365 4.92025e-06 3.69145e-06 0.894866
366 3.5684e-06 3.29435e-06 0.89731
367 3.70555e-06 2.5195e-06 0.899755
368 4.0319e-06 3.56205e-06 0.9022
369 3.61345e-06 2.26085e-06 0.904646
370 5.37465e-06 3.4081e-06 0.90709
371 3.9031e-06 2.37395e-06 0.909535
372 3.3199e-06 3.58455e-06 0.91198
373 3.5708e-06 2.2224e-06 0.914425
374 4.1386e-06 2.48235e-06 0.91687
375 3.4271e-06 2.51555e-06 0.919315
376 5.12295e-06 3.7568e-06 0.92176
377 3.40425e-06 3.3399e-06 0.924205
378 3.45185e-06 2.1389e-06 0.92665
379 3.8484e-06 2.22125e-06 0.929095
380 4.2044e-06 2.3222e-06 0.93154
381 3.81515e-06 2.18265e-06 0.933985
382 4.0076e-06 2.0009e-06 0.93643
383 3.83395e-06 2.64275e-06 0.938875
384 3.47765e-06 2.15895e-06 0.94132
385 3.6227e-06 2.21115e-06 0.943765
386 3.4342e-06 2.18715e-06 0.94621
387 3.42805e-06 2.1906e-06 0.948655
388 4.2298e-06 2.3701e-06 0.9511
389 3.4515e-06 3.2013e-06 0.953545
390 4.2568e-06 2.37605e-06 0.95599
391 3.8496e-06 2.523e-06 0.958435
392 3.35755e-06 3.52175e-06 0.96088
393 3.83015e-06 3.3983e-06 0.963325
394 3.7637e-06 3.2834e-06 0.96577
395 4.8395e-06 3.65535e-06 0.968215
396 3.513e-06 3.9085e-06 0.97066
397 3.6211e-06 3.5335e-06 0.973105
398 3.43505e-06 3.42005e-06 0.97555
399 4.6808e-06 2.5765e-06 0.977995
400 3.6353e-06 2.5392e-06 0.98044
401 4.40015e-06 2.1385e-06 0.982885
402 3.60645e-06 2.27645e-06 0.98533
403 3.7683e-06 2.58625e-06 0.987775
404 3.6557e-06 2.30885e-06 0.99022
405 3.45225e-06 2.79745e-06 0.992665
406 4.08635e-06 2.63925e-06 0.99511
407 3.4317e-06 2.21985e-06 0.997555
408 7.1987e-05 2.90215e-06 1
409 4.2774e-06 2.12455e-06 0.498177
410 3.6329e-06 2.20305e-06 0.499392
411 3.5511e-06 2.4061e-06 0.500608
412 3.8679e-06 2.01765e-06 0.501823
413 5.0325e-06 2.18595e-06 0.503038
414 3.784e-06 2.67275e-06 0.504253
415 3.7592e-06 3.46275e-06 0.505468
416 6.4509e-06 2.465e-06 0.506683
417 5.00655e-06 2.37115e-06 0.507898
418 4.9983e-06 2.8501e-06 0.509113
419 3.4551e-06 3.4665e-06 0.510328
420 4.7356e-06 3.47455e-06 0.511543
421 4.0802e-06 3.5377e-06 0.512758
422 3.1226e-06 2.2426e-06 0.513973
423 3.5276e-06 2.08425e-06 0.515188
424 3.47995e-06 2.97165e-06 0.516403
425 3.39745e-06 3.1257e-06 0.517618
426 3.4711e-06 3.59845e-06 0.518834
427 4.1375e-06 3.2416e-06 0.520049
428 4.2187e-06 3.76295e-06 0.521264
429 3.5915e-06 3.66095e-06 0.522479
430 3.50015e-06 2.9657e-06 0.523694
431 4.9009e-06 3.50665e-06 0.524909
432 4.6449e-06 2.9952e-06 0.526124
433 3.38825e-06 2.97505e-06 0.527339
434 3.96825e-06 2.36095e-06 0.528554
435 3.59275e-06 2.4431e-06 0.529769
436 3.54655e-06 3.48185e-06 0.530984
437 3.33685e-06 2.2237e-06 0.532199
438 3.70535e-06 2.0556e-06 0.533414
439 3.4471e-06 2.1513e-06 0.534629
440 3.6381e-06 2.8267e-06 0.535844
441 3.9908e-06 2.4542e-06 0.53706
442 3.87325e-06 2.51635e-06 0.538275
443 3.49025e-06 2.4933e-06 0.53949
444 3.2386e-06 2.10455e-06 0.540705
445 3.67675e-06 3.6997e-06 0.54192
446 3.60745e-06 2.4894e-06 0.543135
447 3.58755e-06 3.42875e-06 0.54435
448 3.4676e-06 3.56145e-06 0.545565
449 3.76255e-06 3.64995e-06 0.54678
450 3.80055e-06 2.4631e-06 0.547995
451 3.69125e-06 3.5532e-06 0.54921
452 3.53205e-06 2.43475e-06 0.550425
453 3.4542e-06 2.1819e-06 0.55164
454 4.05055e-06 2.1172e-06 0.552855
455 3.36695e-06 3.22155e-06 0.55407
456 3.6267e-06 2.3422e-06 0.555286
457 4.9832e-06 2.1699e-06 0.556501
458 3.92555e-06 2.472e-06 0.557716
459 4.11305e-06 3.82365e-06 0.558931
460 3.6203e-06 3.34085e-06 0.560146
